id	name	round	winner	winnerScore	second	secondScore	third	thirdScore	fourth	fourthScore	parsed	actionsParsed	players	player1	player2	player3	player4	winnerPosition	edition
7454380	Vitor Espanhol XXIX	19	Vítor Pires	190	Leal Joao	141		0		0	1	1	2	Leal Joao	Vítor Pires	Journal	Chat	2	new
7454379	Vitor Espanhol XXVIII	19	Leal Joao	196	Vítor Pires	148		0		0	1	1	2	Vítor Pires	Leal Joao	Journal	Chat	2	new
7453952	Vitor Espanhol XXVI	19	Leal Joao	297	Vítor Pires	183		0		0	1	1	2	Vítor Pires	Leal Joao	Journal	Chat	2	new
7453951	Vitor Espanhol XXVII	18	Vítor Pires	124	Leal Joao	65		0		0	1	1	2	Vítor Pires	Leal Joao	Journal	Chat	1	new
7453778	Vitor Espanhol XXV	20	Vítor Pires	215	Leal Joao	187		0		0	1	1	2	Leal Joao	Vítor Pires	Journal	Chat	2	new
7453441	Vitor Espanhol XXIV	20	Vítor Pires	171	Leal Joao	168		0		0	1	1	2	Leal Joao	Vítor Pires	Journal	Chat	2	new
7453132	Vitor Espanhol XXIII	19	Vítor Pires	98	Leal Joao	53		0		0	1	1	2	Leal Joao	Vítor Pires	Journal	Chat	2	new
7452937	Vitor Espanhol XXII	19	Leal Joao	135	Vítor Pires	122		0		0	1	1	2	Leal Joao	Vítor Pires	Journal	Chat	1	new
7452890	Vitor Espanhol XXI	20	Vítor Pires	194	Leal Joao	117		0		0	1	1	2	Vítor Pires	Leal Joao	Journal	Chat	1	new
7452563	Vitor Espanhol XX	19	Vítor Pires	162	Leal Joao	119		0		0	1	1	2	Vítor Pires	Leal Joao	Journal	Chat	1	new
7452347	Vitor Espanhol XIX	19	Leal Joao	188	Vítor Pires	158		0		0	1	1	2	Vítor Pires	Leal Joao	Journal	Chat	2	new
7452133	Vitor Espanhol XXVII	19	Leal Joao	182	Vítor Pires	129		0		0	1	1	2	Vítor Pires	Leal Joao	Journal	Chat	2	new
7316226	Vitor Espanhol XXVI	20	Vítor Pires	147	Leal Joao	101		0		0	1	1	2	Leal Joao	Vítor Pires	Journal	Chat	2	new
7452808	Liga AoJ E04 D01 J04	18	Pedro Sequeira	244	Ricardo Biscaia	221	nogud nogud	204		0	1	1	3	Ricardo Biscaia	nogud nogud	Pedro Sequeira	Journal	3	new
7452807	Liga AoJ E04 D01 J03	19	nogud nogud	223	Ricardo Biscaia	182	Sergio Ribeiro 	177		0	1	1	3	nogud nogud	Ricardo Biscaia	Sergio Ribeiro 	Journal	1	new
7452806	Liga AoJ E04 D01 J02	18	Pedro Sequeira	165	Ricardo Biscaia	120	Sergio Ribeiro 	91		0	1	1	3	Pedro Sequeira	Sergio Ribeiro 	Ricardo Biscaia	Journal	1	new
7452805	Liga AoJ E04 D01 J01	17	nogud nogud	159	Sergio Ribeiro 	149	Pedro Sequeira	148		0	1	1	3	nogud nogud	Pedro Sequeira	Sergio Ribeiro 	Journal	1	new
7452804	Liga AoJ E04 D03B J04	18	Leal Joao	223	Luis Baixinho	124	Carlos Santos	98		0	1	1	3	Luis Baixinho	Carlos Santos	Leal Joao	Journal	3	new
7452803	Liga AoJ E04 D03B J03	19	David Rodrigues 	160	Carlos Santos	136	Luis Baixinho	123		0	1	1	3	Carlos Santos	Luis Baixinho	David Rodrigues 	Journal	3	new
7452802	Liga AoJ E04 D03B J02	19	Leal Joao	186	David Rodrigues 	110	Luis Baixinho	90		0	1	1	3	Leal Joao	David Rodrigues 	Luis Baixinho	Journal	1	new
7452801	Liga AoJ E04 D03B J01	18	David Rodrigues 	172	Leal Joao	113	Carlos Santos	101		0	1	1	3	David Rodrigues 	Leal Joao	Carlos Santos	Journal	1	new
7452799	Liga AoJ E04 D02 J04	18	Jorge PPD	167	Diogo  Durão	148	Joao Pontes	145		0	1	1	3	Jorge PPD	Diogo  Durão	Joao Pontes	Journal	1	new
7452798	Liga AoJ E04 D02 J03	18	Mário Sousa	238	Diogo  Durão	211	Jorge PPD	148		0	1	1	3	Diogo  Durão	Jorge PPD	Mário Sousa	Journal	3	new
7452797	Liga AoJ E04 D02 J02	18	Jorge PPD	166	Joao Pontes	137	Mário Sousa	120		0	1	1	3	Joao Pontes	Mário Sousa	Jorge PPD	Journal	3	new
7452796	Liga AoJ E04 D02 J01	19	Mário Sousa	236	Joao Pontes	226	Diogo  Durão	170		0	1	1	3	Mário Sousa	Joao Pontes	Diogo  Durão	Journal	1	new
7452795	Liga AoJ E04 D03A J04	19	Vítor Baixinho	206	Marcos Pires	194	Cristovão Neto	144		0	1	1	3	Vítor Baixinho	Cristovão Neto	Marcos Pires	Journal	1	new
7452794	Liga AoJ E04 D03A J03	19	Vítor Pires	224	Vítor Baixinho	212	Cristovão Neto	81		0	1	1	3	Cristovão Neto	Vítor Baixinho	Vítor Pires	Journal	3	new
7452793	Liga AoJ E04 D03A J02	17	Vítor Baixinho	164	Vítor Pires	130	Marcos Pires	118		0	1	1	3	Marcos Pires	Vítor Pires	Vítor Baixinho	Journal	3	new
7452792	Liga AoJ E04 D03A J01	19	Vítor Pires	162	Cristovão Neto	71	Marcos Pires	23		0	1	1	3	Vítor Pires	Marcos Pires	Cristovão Neto	Journal	1	new
7450493	Liga AoJ E03 D03 J04	19	Mário Sousa	224	Carlos Santos	169	Cristovão Neto	137		0	1	1	3	Carlos Santos	Cristovão Neto	Mário Sousa	Journal	3	new
7450492	Liga AoJ E03 D03 J03	19	Marcos Pires	251	Carlos Santos	69	Cristovão Neto	68		0	1	1	3	Cristovão Neto	Carlos Santos	Marcos Pires	Journal	3	new
7450491	Liga AoJ E03 D03 J02	18	Mário Sousa	165	Marcos Pires	146	Carlos Santos	93		0	1	1	3	Mário Sousa	Marcos Pires	Carlos Santos	Journal	1	new
7450490	Liga AoJ E03 D03 J01	18	Marcos Pires	129	Mário Sousa	120	Cristovão Neto	115		0	1	1	3	Marcos Pires	Mário Sousa	Cristovão Neto	Journal	1	new
7450489	Liga AoJ E03 D02 J04	18	Diogo  Durão	159	nogud nogud	157	Jorge PPD	74		0	1	1	3	nogud nogud	Jorge PPD	Diogo  Durão	Journal	3	new
7450488	Liga AoJ E03 D02 J03	18	nogud nogud	234	Jorge PPD	165	Ariana Pintor	131		0	1	1	3	Jorge PPD	nogud nogud	Ariana Pintor	Journal	2	new
7450487	Liga AoJ E03 D02 J02	18	nogud nogud	246	Ariana Pintor	175	Diogo  Durão	168		0	1	1	3	Diogo  Durão	Ariana Pintor	nogud nogud	Journal	3	new
7450486	Liga AoJ E03 D02 J01	19	Jorge PPD	228	Ariana Pintor	197	Diogo  Durão	146		0	1	1	3	Ariana Pintor	Diogo  Durão	Jorge PPD	Journal	3	new
7450485	Liga AoJ E03 D01 J04	17	Pedro Sequeira	201	Sergio Ribeiro 	174	Joao Pontes	161		0	1	1	3	Pedro Sequeira	Sergio Ribeiro 	Joao Pontes	Journal	1	new
7450484	Liga AoJ E03 D01 J03	19	Pedro Sequeira	276	Sergio Ribeiro 	274	Ricardo Biscaia	231		0	1	1	3	Sergio Ribeiro 	Pedro Sequeira	Ricardo Biscaia	Journal	2	new
7450483	Liga AoJ E03 D01 J02	19	Ricardo Biscaia	239	Joao Pontes	191	Pedro Sequeira	163		0	1	1	3	Joao Pontes	Ricardo Biscaia	Pedro Sequeira	Journal	2	new
7450482	Liga AoJ E03 D01 J01	18	Sergio Ribeiro 	188	Ricardo Biscaia	186	Joao Pontes	180		0	1	1	3	Ricardo Biscaia	Joao Pontes	Sergio Ribeiro 	Journal	3	new
7447898	Liga AoJ E02 D02B J03	18	Sergio Ribeiro 	177	Diogo  Durão	137	Cristovão Neto	76		0	1	1	3	Diogo  Durão	Cristovão Neto	Sergio Ribeiro 	Journal	3	new
7447897	Liga AoJ E02 D02B J02	18	Sergio Ribeiro 	184	Diogo  Durão	126	Cristovão Neto	76		0	1	1	3	Cristovão Neto	Diogo  Durão	Sergio Ribeiro 	Journal	3	new
7447896	Liga AoJ E02 D02B J01	19	Diogo  Durão	243	Sergio Ribeiro 	144	Cristovão Neto	118		0	1	1	3	Cristovão Neto	Diogo  Durão	Sergio Ribeiro 	Journal	2	new
7447895	Liga AoJ E02 D02A J03	19	Carlos Santos	193	Ariana Pintor	170	Joao Pontes	137		0	1	1	3	Joao Pontes	Ariana Pintor	Carlos Santos	Journal	3	new
7447894	Liga AoJ E02 D02A J02	19	Ariana Pintor	242	Joao Pontes	222	Carlos Santos	129		0	1	1	3	Joao Pontes	Carlos Santos	Ariana Pintor	Journal	3	new
7447893	Liga AoJ E02 D02A J01	18	Joao Pontes	190	Carlos Santos	135	Ariana Pintor	132		0	1	1	3	Ariana Pintor	Joao Pontes	Carlos Santos	Journal	2	new
7447892	Liga AoJ \tE02 D01 J02	18	nogud nogud	181	Jorge PPD	154	Pedro Sequeira	153		0	1	1	3	nogud nogud	Pedro Sequeira	Jorge PPD	Journal	1	new
7447891	Liga AoJ E02 D01 J01	18	Ricardo Biscaia	218	Jorge PPD	137	nogud nogud	96		0	1	1	3	Jorge PPD	Ricardo Biscaia	nogud nogud	Journal	2	new
7447890	Liga AoJ E02 D01 J04	18	Ricardo Biscaia	214	Pedro Sequeira	214	nogud nogud	160		0	1	1	3	Pedro Sequeira	nogud nogud	Ricardo Biscaia	Journal	3	new
7447889	Liga AoJ E02 D01 J03	18	Ricardo Biscaia	180	Jorge PPD	151	Pedro Sequeira	138		0	1	1	3	Ricardo Biscaia	Jorge PPD	Pedro Sequeira	Journal	1	new
7445206	Liga AoJ E01 D01 J03	18	Jorge PPD	204	Carlos Santos	85	Cristovão Neto	45		0	1	1	3	Cristovão Neto	Carlos Santos	Jorge PPD	Journal	3	new
